county_id,ba,nercregion
1280,p94,SRSE
1281,p44,SPPN
1282,p103,MISW
1283,p65,TRE
1284,p89,SRCE
1285,p90,SRSE
1286,p94,SRSE
1287,p12,BASN
1288,p14,NWPP
1289,p18,NWPP
1290,p48,SPPS
1291,p112,PJMW
1292,p35,SPPN
1293,p109,SRCE
1294,p55,SPPC
1295,p129,ISNE
1296,p109,SRCE
1297,p33,RMRG
1298,p66,MISS
1299,p25,BASN
1300,p75,MISW
1301,p50,SPPS
1302,p75,MISW
1303,p94,SRSE
1304,p86,MISS
1305,p94,SRSE
1306,p132,ISNE
1307,p119,PJME
1308,p65,TRE
1309,p94,SRSE
1310,p89,SRSE
1311,p101,FRCC
1312,p58,MISS
1313,p54,SPPC
1314,p48,SPPS
1315,p125,PJME
1316,p53,SPPC
1317,p81,MISC
1318,p134,ISNE
1319,p80,PJMC
1320,p103,MISE
1321,p94,SRSE
1322,p112,PJMW
1323,p101,FRCC
1324,p21,BASN
1325,p118,PJMW
1326,p31,SRSG
1327,p54,SPPC
1328,p118,SRCE
1329,p34,RMRG
1330,p127,NYUP
1331,p129,ISNE
1332,p126,PJME
1333,p83,MISC
1334,p34,RMRG
1335,p92,SRCE
1336,p107,MISC
1337,p21,BASN
1338,p131,ISNE
1339,p81,MISC
1340,p68,MISW
1341,p85,MISS
1342,p53,SPPC
1343,p122,PJME
1344,p61,TRE
1345,p103,MISE
1346,p96,SRCA
1347,p64,TRE
1348,p87,MISS
1349,p52,SPPC
1350,p34,RMRG
1351,p31,SRSG
1352,p56,MISS
1353,p103,MISE
1354,p41,SPPN
1355,p109,SRCE
1356,p95,SRCA
1357,p26,BASN
1358,p93,SRCE
1359,p118,SRCE
1360,p127,NYUP
1361,p99,PJMD
1362,p65,TRE
1363,p53,SPPC
1364,p50,SPPS
1365,p8,NWPP
1366,p67,TRE
1367,p101,FRCC
1368,p111,PJMW
1369,p98,SRCA
1370,p101,FRCC
1371,p15,BASN
1372,p50,SPPS
1373,p114,PJMW
1374,p110,SRCE
1375,p58,MISS
1376,p63,TRE
1377,p40,SPPN
1378,p53,SPPC
1379,p38,SPPN
1380,p130,ISNE
1381,p93,SRCE
1382,p38,SPPN
1383,p132,ISNE
1384,p43,MISW
1385,p84,MISC
1386,p53,SPPC
1387,p46,MISW
1388,p94,SRSE
1389,p85,MISS
1390,p50,SPPS
1391,p94,SRSE
1392,p101,FRCC
1393,p43,MISW
1394,p15,BASN
1395,p51,SPPS
1396,p98,PJMD
1397,p101,FRCC
1398,p63,TRE
1399,p58,MISS
1400,p44,MISW
1401,p100,PJMW
1402,p28,SRSG
1403,p33,RMRG
1404,p94,SRSE
1405,p70,SPPN
1406,p112,PJMW
1407,p94,SRSE
1408,p92,SRCE
1409,p46,MISW
1410,p53,SPPC
1411,p15,BASN
1412,p38,SPPN
1413,p70,MISW
1414,p88,SRCE
1415,p40,SPPN
